,Unnamed: 0,I,J,CELLACTIVE_x,X,Y,Conc,CELLACTIVE_y,_count,_sum,_mean,_median,_min,_max,_range,Comparison_Output,Conc-_sum_PercentDiff,Conc-_mean_PercentDiff,Conc-_median_PercentDiff,Conc-_min_PercentDiff,Conc-_max_PercentDiff
547492,547492,471,413,1,569012.5,146387.5,162,1,4,676,169,169.1999969,158.1000061,179.5,21.3999939,FALSE,122.67%,4.23%,4.35%,2.44%,10.25%
509054,509054,438,387,1,568622.5,146882.5,126,1,4,525.7999954,131.4499989,124.4500008,122.6999969,154.1999969,31.5,FALSE,122.68%,4.23%,1.24%,2.65%,20.13%
533507,533507,459,396,1,568757.5,146567.5,3173.100098,1,4,13246.50024,3311.625061,3307.950073,2958.100098,3672.5,714.3999023,FALSE,122.70%,4.27%,4.16%,7.01%,14.59%
535821,535821,461,382,1,568547.5,146537.5,531.2000122,1,4,2219.500061,554.8750153,553.0500183,491.5,621.9000244,130.4000244,FALSE,122.75%,4.36%,4.03%,7.76%,15.73%
518403,518403,446,424,1,569177.5,146762.5,3353.699951,1,4,14017.69971,3504.424927,3463.599976,2370.199951,4720.299805,2350.099854,FALSE,122.78%,4.40%,3.22%,34.36%,33.85%
519565,519565,447,422,1,569147.5,146747.5,488.2000122,1,4,2040.700012,510.1750031,506.2000122,415.7999878,612.5,196.7000122,FALSE,122.78%,4.40%,3.62%,16.02%,22.59%
534658,534658,460,383,1,568562.5,146552.5,1081,1,4,4522.499939,1130.624985,1119.299988,962.2999878,1321.599976,359.2999878,FALSE,122.83%,4.49%,3.48%,11.62%,20.03%
536987,536987,462,384,1,568577.5,146522.5,559.7999878,1,4,2342.299988,585.5749969,582.3999939,513.9000244,663.5999756,149.6999512,FALSE,122.84%,4.50%,3.96%,8.55%,16.97%
533508,533508,459,397,1,568772.5,146567.5,1931.800049,1,4,8083,2020.75,1988.100037,1871.599976,2235.199951,363.5999756,FALSE,122.84%,4.50%,2.87%,3.17%,14.56%
545145,545145,469,394,1,568727.5,146417.5,1261.800049,1,4,5281.900024,1320.475006,1308.75,1206.300049,1458.099976,251.7999268,FALSE,122.87%,4.54%,3.65%,4.50%,14.43%
521899,521899,449,428,1,569237.5,146717.5,858.7999878,1,4,3596.999939,899.2499847,900.2999878,823.7999878,972.5999756,148.7999878,FALSE,122.90%,4.60%,4.72%,4.16%,12.43%
534671,534671,460,396,1,568757.5,146552.5,3760.100098,1,4,15749.19995,3937.299988,3933.050049,3575.300049,4307.799805,732.4997559,FALSE,122.91%,4.60%,4.50%,5.04%,13.58%
543979,543979,468,392,1,568697.5,146432.5,1604.199951,1,4,6723.599976,1680.899994,1678.099976,1513.599976,1853.800049,340.2000732,FALSE,122.95%,4.67%,4.50%,5.81%,14.44%
546328,546328,470,413,1,569012.5,146402.5,148.8000031,1,4,623.8999939,155.9749985,156,143.6999969,168.1999969,24.5,FALSE,122.97%,4.71%,4.72%,3.49%,12.24%
540486,540486,465,391,1,568682.5,146477.5,9338.299805,1,4,39155.39941,9788.849854,9441.25,8670.799805,11602.09961,2931.299805,FALSE,122.97%,4.71%,1.10%,7.41%,21.62%
535820,535820,461,381,1,568532.5,146537.5,447.2000122,1,4,1875.600006,468.9000015,466.4000092,435,507.7999878,72.79998779,FALSE,122.99%,4.74%,4.20%,2.77%,12.69%
545164,545164,469,413,1,569012.5,146417.5,132.8999939,1,4,557.3999939,139.3499985,139.1999969,127.3000031,151.6999969,24.3999939,FALSE,122.99%,4.74%,4.63%,4.30%,13.21%
502070,502070,432,387,1,568622.5,146972.5,165.6999969,1,4,694.9999847,173.7499962,173.7999954,157.5,189.8999939,32.3999939,FALSE,122.99%,4.74%,4.77%,5.07%,13.61%
520704,520704,448,397,1,568772.5,146732.5,102.3000031,1,4,429.2000122,107.3000031,99.85000229,96.40000153,133.1000061,36.70000458,FALSE,123.01%,4.77%,2.42%,5.94%,26.17%
545143,545143,469,392,1,568697.5,146417.5,1030.699951,1,4,4325.299927,1081.324982,1075.149963,976.5999756,1198.400024,221.8000488,FALSE,123.02%,4.79%,4.22%,5.39%,15.05%
546310,546310,470,395,1,568742.5,146402.5,986.2999878,1,4,4139.200012,1034.800003,1028.300018,965.9000244,1116.699951,150.7999268,FALSE,123.03%,4.80%,4.17%,2.09%,12.40%
523063,523063,450,428,1,569237.5,146702.5,557.7999878,1,4,2342.099976,585.5249939,585.4499817,519.7000122,651.5,131.7999878,FALSE,123.06%,4.85%,4.84%,7.07%,15.50%
535803,535803,461,364,1,568277.5,146537.5,126.3000031,1,4,530.3999939,132.5999985,131.3499985,123.8000031,143.8999939,20.09999084,FALSE,123.07%,4.87%,3.92%,2.00%,13.03%
539319,539319,464,388,1,568637.5,146492.5,2016.900024,1,4,8479.099976,2119.774994,1961.650024,1614.099976,2941.699951,1327.599976,FALSE,123.14%,4.97%,2.78%,22.19%,37.30%
535832,535832,461,393,1,568712.5,146537.5,15786.7002,1,4,66468.5,16617.125,16551.00049,13761.2998,19605.19922,5843.899414,FALSE,123.23%,5.13%,4.73%,13.71%,21.58%
503236,503236,433,389,1,568652.5,146957.5,148.3000031,1,4,624.6999969,156.1749992,155.5999985,140.5,173,32.5,FALSE,123.26%,5.17%,4.80%,5.40%,15.38%
535835,535835,461,396,1,568757.5,146537.5,4225,1,4,17808.49951,4452.124878,4447.899902,4088.399902,4824.299805,735.8999023,FALSE,123.30%,5.24%,5.14%,3.29%,13.25%
521900,521900,449,429,1,569252.5,146717.5,910.7999878,1,4,3839.200012,959.8000031,960.25,901.5,1017.200012,115.7000122,FALSE,123.30%,5.24%,5.29%,1.03%,11.04%
545146,545146,469,395,1,568742.5,146417.5,1465.900024,1,4,6184.099976,1546.024994,1549.299988,1416.400024,1669.099976,252.6999512,FALSE,123.35%,5.32%,5.53%,3.43%,12.96%
534670,534670,460,395,1,568742.5,146552.5,5822.899902,1,4,24565.2998,6141.324951,6129.949951,5414.299805,6891.100098,1476.800293,FALSE,123.35%,5.32%,5.14%,7.27%,16.80%
532354,532354,458,407,1,568922.5,146582.5,125.5,1,4,529.5,132.375,128.1500015,123.8000031,149.3999939,25.59999084,FALSE,123.36%,5.33%,2.09%,1.36%,17.39%
549821,549821,473,414,1,569027.5,146357.5,126.5999985,1,4,534.6999893,133.6749973,133.7999992,124.1999969,142.8999939,18.69999695,FALSE,123.42%,5.44%,5.53%,1.91%,12.10%
545144,545144,469,393,1,568712.5,146417.5,1167,1,4,4929.400024,1232.350006,1234.650024,1137.699951,1322.400024,184.7000732,FALSE,123.43%,5.45%,5.63%,2.54%,12.48%
523064,523064,450,429,1,569252.5,146702.5,632.7999878,1,4,2674.799988,668.6999969,669.1999817,614.2000122,722.2000122,108,FALSE,123.47%,5.52%,5.59%,2.98%,13.20%
506733,506733,436,394,1,568727.5,146912.5,123.4000015,1,4,521.6999893,130.4249973,127.6499977,120.1999969,146.1999969,26,FALSE,123.48%,5.54%,3.39%,2.63%,16.91%
535834,535834,461,395,1,568742.5,146537.5,6919,1,4,29305.8999,7326.474976,7333.75,6581.100098,8057.299805,1476.199707,FALSE,123.60%,5.72%,5.82%,5.01%,15.20%
538152,538152,463,385,1,568592.5,146507.5,422.1000061,1,4,1794,448.5,444.1000061,404.3999939,501.3999939,97,FALSE,123.81%,6.06%,5.08%,4.28%,17.17%
542820,542820,467,397,1,568772.5,146447.5,1325.900024,1,4,5652,1413,1410.200012,1297.900024,1533.699951,235.7999268,FALSE,123.99%,6.36%,6.16%,2.13%,14.53%
534672,534672,460,397,1,568772.5,146552.5,2276.899902,1,4,9738.999756,2434.749939,2432.299927,2127.899902,2746.5,618.6000977,FALSE,124.20%,6.70%,6.60%,6.77%,18.70%
519566,519566,447,423,1,569162.5,146747.5,713.2000122,1,4,3051.900024,762.9750061,756.8999939,637.4000244,900.7000122,263.2999878,FALSE,124.23%,6.74%,5.95%,11.22%,23.24%
517244,517244,445,429,1,569252.5,146777.5,3422,1,4,14655.49976,3663.874939,3666.449951,3362.199951,3960.399902,598.1999512,FALSE,124.28%,6.83%,6.90%,1.76%,14.59%
536999,536999,462,396,1,568757.5,146522.5,4478.899902,1,4,19218.2998,4804.574951,4787.849854,4423.399902,5219.200195,795.800293,FALSE,124.40%,7.02%,6.67%,1.25%,15.27%
535836,535836,461,397,1,568772.5,146537.5,2638.399902,1,4,11330.69971,2832.674927,2830.549927,2533.899902,3135.699951,601.8000488,FALSE,124.45%,7.10%,7.03%,4.04%,17.23%
532329,532329,458,382,1,568547.5,146582.5,1979.599976,1,4,8506.800049,2126.700012,2045.200012,1817.400024,2599,781.5999756,FALSE,124.49%,7.16%,3.26%,8.54%,27.06%
520732,520732,448,425,1,569192.5,146732.5,511.1000061,1,4,2198.899994,549.7249985,544.1500092,378.5,732.0999756,353.5999756,FALSE,124.56%,7.28%,6.26%,29.81%,35.55%
520733,520733,448,426,1,569207.5,146732.5,915.5,1,4,3946.399963,986.5999908,964.9500122,802.2999878,1214.199951,411.8999634,FALSE,124.68%,7.48%,5.26%,13.18%,28.05%
520735,520735,448,428,1,569237.5,146732.5,1412.699951,1,4,6106.099854,1526.524963,1532.199951,1384.599976,1657.099976,272.5,FALSE,124.84%,7.75%,8.12%,2.01%,15.92%
514879,514879,443,392,1,568697.5,146807.5,115.5999985,1,4,499.6999969,124.9249992,119,102.6999969,159,56.30000305,FALSE,124.85%,7.75%,2.90%,11.82%,31.61%
524229,524229,451,430,1,569267.5,146687.5,421.1000061,1,4,1823,455.75,456.0500031,414,496.8999939,82.8999939,FALSE,124.94%,7.90%,7.97%,1.70%,16.51%
524228,524228,451,429,1,569252.5,146687.5,386.7999878,1,4,1675.299988,418.8249969,415.7999878,378.5,465.2000122,86.70001221,FALSE,124.97%,7.95%,7.23%,2.17%,18.40%
537000,537000,462,397,1,568772.5,146522.5,2815.800049,1,4,12218.80005,3054.700012,3053.75,2783.199951,3328.100098,544.9001465,FALSE,125.08%,8.14%,8.11%,1.16%,16.68%
520734,520734,448,427,1,569222.5,146732.5,1259,1,4,5475.400024,1368.850006,1374.450012,1153.699951,1572.800049,419.1000977,FALSE,125.22%,8.36%,8.77%,8.73%,22.16%
541650,541650,466,391,1,568682.5,146462.5,5038,1,4,21925,5481.25,5325.350098,4261.5,7012.799805,2751.299805,FALSE,125.26%,8.43%,5.55%,16.70%,32.77%
540487,540487,465,392,1,568697.5,146477.5,16366.40039,1,4,71306.5,17826.625,17949.7002,13380.90039,22026.19922,8645.298828,FALSE,125.33%,8.54%,9.23%,20.07%,29.48%
534668,534668,460,393,1,568712.5,146552.5,9983.200195,1,4,43655.09961,10913.7749,10483.1499,9674.700195,13014.09961,3339.399414,FALSE,125.55%,8.91%,4.89%,3.14%,26.36%
542815,542815,467,392,1,568697.5,146447.5,3423.899902,1,4,15006.1001,3751.525024,3733.25,3000.5,4539.100098,1538.600098,FALSE,125.69%,9.13%,8.64%,13.18%,28.01%
517245,517245,445,430,1,569267.5,146777.5,1997.300049,1,4,8772.699951,2193.174988,2181.099976,1970.300049,2440.199951,469.8999023,FALSE,125.82%,9.35%,8.80%,1.36%,19.96%
543980,543980,468,393,1,568712.5,146432.5,1732.900024,1,4,7618,1904.5,1864.400024,1714.699951,2174.5,459.8000488,FALSE,125.87%,9.44%,7.31%,1.06%,22.60%
